GISAID_ID	Virus_name
EPI_ISL_2463026	hCoV-19/USA/TX-CDC-QDX25352541/2021
EPI_ISL_2463035	hCoV-19/USA/TX-CDC-QDX25352576/2021
EPI_ISL_2463137	hCoV-19/USA/TX-CDC-QDX25352542/2021
EPI_ISL_2463159	hCoV-19/USA/TX-CDC-QDX25352591/2021
EPI_ISL_2463179	hCoV-19/USA/TX-CDC-QDX25352558/2021
EPI_ISL_2463189	hCoV-19/USA/TX-CDC-QDX25352586/2021
EPI_ISL_2463196	hCoV-19/USA/TX-CDC-QDX25352539/2021
EPI_ISL_2463228	hCoV-19/USA/TX-CDC-QDX25352599/2021
EPI_ISL_2467533	hCoV-19/France/IDF-HB_112004006537/2020
EPI_ISL_2480070	hCoV-19/USA/TX-CDC-FG-036497/2021
EPI_ISL_2480071	hCoV-19/USA/TX-CDC-FG-036457/2021
EPI_ISL_2480072	hCoV-19/USA/TX-CDC-FG-036503/2021
EPI_ISL_2480786	hCoV-19/USA/NC-CDC-LC0065775/2021
EPI_ISL_2481600	hCoV-19/USA/CO-CDC-LC0067595/2021
EPI_ISL_2481689	hCoV-19/USA/CO-CDC-LC0067959/2021
EPI_ISL_2481692	hCoV-19/USA/CO-CDC-LC0067961/2021
EPI_ISL_2481788	hCoV-19/USA/CO-CDC-LC0067441/2021
EPI_ISL_2481789	hCoV-19/USA/CO-CDC-LC0067442/2021
EPI_ISL_2481851	hCoV-19/USA/TX-CDC-LC0067717/2021
EPI_ISL_2482112	hCoV-19/USA/TX-CDC-LC0068017/2021
EPI_ISL_2482114	hCoV-19/USA/TX-CDC-LC0068016/2021
EPI_ISL_2482201	hCoV-19/USA/IN-CDC-LC0068171/2021
EPI_ISL_2482438	hCoV-19/Australia/VIC18721/2021
EPI_ISL_2488863	hCoV-19/USA/CO-CDC-MMB08715704/2021
EPI_ISL_2488871	hCoV-19/USA/CO-CDC-MMB08714254/2021
EPI_ISL_2488893	hCoV-19/USA/CO-CDC-MMB08717562/2021
EPI_ISL_2488919	hCoV-19/USA/CO-CDC-MMB08712754/2021
EPI_ISL_2489248	hCoV-19/USA/CO-CDC-ASC210106037/2021
EPI_ISL_2489298	hCoV-19/USA/CA-CDC-ASC210105941/2021
EPI_ISL_2489375	hCoV-19/USA/CO-CDC-ASC210066473/2021
EPI_ISL_2489377	hCoV-19/USA/CO-CDC-ASC210066476/2021
EPI_ISL_2489378	hCoV-19/USA/CO-CDC-ASC210066477/2021
EPI_ISL_2489482	hCoV-19/USA/CO-CDC-ASC210067062/2021
EPI_ISL_2489498	hCoV-19/USA/TX-CDC-ASC210067083/2021
EPI_ISL_2489499	hCoV-19/USA/TX-CDC-ASC210067084/2021
EPI_ISL_2489688	hCoV-19/USA/CO-CDC-ASC210105847/2021
EPI_ISL_2489750	hCoV-19/USA/WI-CDC-ASC210067150/2021
EPI_ISL_2491567	hCoV-19/Norway/13271/2021
EPI_ISL_2492677	hCoV-19/Zimbabwe/CERI-KRISP-K011514/2021
EPI_ISL_2499949	hCoV-19/USA/KS-KHEL-2291/2021
EPI_ISL_2501747	hCoV-19/USA/TX-DSHS-6847/2021
EPI_ISL_2502431	hCoV-19/Suriname/SR-137/2021
EPI_ISL_2502438	hCoV-19/Suriname/SR-93/2020
EPI_ISL_2524964	hCoV-19/USA/CO-CDC-MMB08737969/2021
EPI_ISL_2525057	hCoV-19/USA/CO-CDC-MMB08766237/2021
EPI_ISL_2525107	hCoV-19/USA/CO-CDC-MMB08716237/2021
EPI_ISL_2525208	hCoV-19/USA/CO-CDC-MMB08737801/2021
EPI_ISL_2525225	hCoV-19/USA/CO-CDC-MMB08765729/2021
EPI_ISL_2527003	hCoV-19/USA/TX-CDC-QDX25392294/2021
EPI_ISL_2528159	hCoV-19/USA/CA-CDC-ASC210107509/2021
EPI_ISL_2528171	hCoV-19/USA/CO-CDC-ASC210107522/2021
EPI_ISL_2528177	hCoV-19/USA/CO-CDC-ASC210107526/2021
EPI_ISL_2528179	hCoV-19/USA/CO-CDC-ASC210107527/2021
EPI_ISL_2528263	hCoV-19/USA/OK-CDC-ASC210107580/2021
EPI_ISL_2528350	hCoV-19/USA/AL-CDC-ASC210106881/2021
EPI_ISL_2528502	hCoV-19/USA/WI-CDC-ASC210106412/2021
EPI_ISL_2528847	hCoV-19/USA/TX-CDC-ASC210107206/2021
EPI_ISL_2529113	hCoV-19/USA/TX-CDC-QDX25472365/2021
EPI_ISL_2529138	hCoV-19/USA/TX-CDC-QDX25497693/2021
EPI_ISL_2529185	hCoV-19/USA/TX-CDC-QDX25472353/2021
EPI_ISL_2529228	hCoV-19/USA/TX-CDC-QDX25497671/2021
EPI_ISL_2534236	hCoV-19/USA/KS-KHEL-2315/2021
EPI_ISL_2534246	hCoV-19/USA/KS-KHEL-2325/2021
EPI_ISL_2534250	hCoV-19/USA/KS-KHEL-2329/2021
EPI_ISL_2536907	hCoV-19/USA/MN-MDH-8069/2021
EPI_ISL_2537240	hCoV-19/USA/CO-GD-SID-21053056985/2021
EPI_ISL_2544663	hCoV-19/USA/IN-INSPHL-02202/2021
EPI_ISL_2544665	hCoV-19/USA/IN-INSPHL-02203/2021
EPI_ISL_2545101	hCoV-19/USA/WA-UW-21052827895/2021
EPI_ISL_2545259	hCoV-19/Israel/SMC-7003521/2021
EPI_ISL_2546650	hCoV-19/India/GJ-IGIB-NIV-INSACOG-GSEQ-2806/2021
EPI_ISL_2546885	hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-3751/2021
EPI_ISL_2547465	hCoV-19/India/ML-1727400000057/2021
EPI_ISL_2549274	hCoV-19/India/TN-ICMR-MCL_3876_4497/2021
EPI_ISL_2550012	hCoV-19/USA/CO-CDPHE-2101107930/2021
EPI_ISL_2550134	hCoV-19/USA/CO-CDPHE-2101125970/2021
EPI_ISL_2550143	hCoV-19/USA/CO-CDPHE-2101139025/2021
EPI_ISL_2550407	hCoV-19/USA/CO-CDPHE-2101194065/2021
EPI_ISL_2550408	hCoV-19/USA/CO-CDPHE-2101194066/2021
EPI_ISL_2550468	hCoV-19/USA/CO-CDPHE-2101210239/2021
EPI_ISL_2556039	hCoV-19/India/JK-NCDC-2809118/2021
EPI_ISL_2557455	hCoV-19/USA/WY-CDC-IBX117167586776/2021
EPI_ISL_2557467	hCoV-19/USA/WY-CDC-IBX187289747429/2021
EPI_ISL_2558700	hCoV-19/USA/KS-KHEL-2472/2021
EPI_ISL_2558704	hCoV-19/USA/KS-KHEL-2476/2021
EPI_ISL_2559110	hCoV-19/USA/WY-WYPHL-21038905/2021
EPI_ISL_2559115	hCoV-19/USA/WY-WYPHL-21038864/2021
EPI_ISL_2559122	hCoV-19/USA/WY-WYPHL-21039169/2021
EPI_ISL_2565774	hCoV-19/USA/TX-DSHS-6870/2021
EPI_ISL_2566245	hCoV-19/USA/WY-WYPHL-21039596/2021
EPI_ISL_2566525	hCoV-19/Egypt/CCHE57357_Wave_3_A_048/2021
EPI_ISL_2594444	hCoV-19/USA/WY-WYPHL-21038205/2021
EPI_ISL_2598393	hCoV-19/Australia/VIC18777/2021
EPI_ISL_2598720	hCoV-19/USA/CA-CDC-FG-037112/2021
EPI_ISL_2598917	hCoV-19/USA/TX-CDC-STM-000072833/2021
EPI_ISL_2599832	hCoV-19/USA/TX-CDC-QDX25576113/2021
EPI_ISL_2599859	hCoV-19/USA/TX-CDC-QDX25576091/2021
EPI_ISL_2599880	hCoV-19/USA/TX-CDC-QDX25576075/2021
EPI_ISL_2603406	hCoV-19/USA/WY-WYPHL-21040761/2021
EPI_ISL_2611164	hCoV-19/USA/FL-CDC-LC0069854/2021
EPI_ISL_2611204	hCoV-19/USA/FL-CDC-LC0069878/2021
EPI_ISL_2611205	hCoV-19/USA/FL-CDC-LC0069883/2021
EPI_ISL_2611214	hCoV-19/USA/FL-CDC-LC0069895/2021
EPI_ISL_2611849	hCoV-19/USA/TX-CDC-QDX25620181/2021
EPI_ISL_2612185	hCoV-19/USA/KS-KHEL-2549/2021
EPI_ISL_2612186	hCoV-19/USA/KS-KHEL-2550/2021
EPI_ISL_2616523	hCoV-19/USA/WY-WYPHL-21039515/2021
EPI_ISL_2616543	hCoV-19/USA/WY-WYPHL-21038932/2021
EPI_ISL_2616586	hCoV-19/USA/WY-WYPHL-21038540/2021
EPI_ISL_2616663	hCoV-19/USA/WY-WYPHL-21038544/2021
EPI_ISL_2616774	hCoV-19/USA/TX-HHD-210610KVI5382/2021
EPI_ISL_2616775	hCoV-19/USA/TX-HHD-210615KVI5445/2021
EPI_ISL_2616776	hCoV-19/USA/TX-HHD-210615KVI5446/2021
EPI_ISL_2616777	hCoV-19/USA/TX-HHD-210615KVI5447/2021
EPI_ISL_2616778	hCoV-19/USA/TX-HHD-210615KVI5448/2021
EPI_ISL_2617631	hCoV-19/USA/LA-OD-2528235/2021
EPI_ISL_2617991	hCoV-19/USA/WA-CDC-UW21061450853/2021
EPI_ISL_2618018	hCoV-19/USA/WA-CDC-UW21061451166/2021
EPI_ISL_2626661	hCoV-19/Saint_Lucia/66447/2021
EPI_ISL_2629889	hCoV-19/USA/WY-WYPHL-21041399/2021
EPI_ISL_2629891	hCoV-19/USA/WY-WYPHL-21041848/2021
EPI_ISL_2635769	hCoV-19/Germany/TH-RKI-I-179040/2021
EPI_ISL_2635832	hCoV-19/Germany/TH-RKI-I-179118/2021
EPI_ISL_2636474	hCoV-19/Germany/TH-RKI-I-179991/2021
EPI_ISL_2637091	hCoV-19/Germany/SL-RKI-I-180768/2021
EPI_ISL_2644389	hCoV-19/Slovenia/104383/2020
EPI_ISL_2646364	hCoV-19/USA/CO-CDC-MMB08663384/2021
EPI_ISL_2646408	hCoV-19/USA/CO-CDC-MMB08678266/2021
EPI_ISL_2646437	hCoV-19/USA/CO-CDC-MMB08679876/2021
EPI_ISL_2646445	hCoV-19/USA/CO-CDC-MMB08703422/2021
EPI_ISL_2646499	hCoV-19/USA/CO-CDC-MMB08679857/2021
EPI_ISL_2646650	hCoV-19/USA/CO-CDC-MMB08723356/2021
EPI_ISL_2646705	hCoV-19/USA/CO-CDC-MMB08781837/2021
EPI_ISL_2646709	hCoV-19/USA/CO-CDC-MMB08782435/2021
EPI_ISL_2646716	hCoV-19/USA/CO-CDC-MMB08765747/2021
EPI_ISL_2646723	hCoV-19/USA/CO-CDC-MMB08783863/2021
EPI_ISL_2646762	hCoV-19/USA/CO-CDC-MMB08772008/2021
EPI_ISL_2646813	hCoV-19/USA/CO-CDC-MMB08780726/2021
EPI_ISL_2646856	hCoV-19/USA/CO-CDC-MMB08779462/2021
EPI_ISL_2646983	hCoV-19/USA/CO-CDC-MMB08844714/2021
EPI_ISL_2647023	hCoV-19/USA/CO-CDC-MMB08833961/2021
EPI_ISL_2647028	hCoV-19/USA/CO-CDC-MMB08829623/2021
EPI_ISL_2647029	hCoV-19/USA/CO-CDC-MMB08828234/2021
EPI_ISL_2647030	hCoV-19/USA/CO-CDC-MMB08829549/2021
EPI_ISL_2647031	hCoV-19/USA/CO-CDC-MMB08829533/2021
EPI_ISL_2647032	hCoV-19/USA/CO-CDC-MMB08835801/2021
EPI_ISL_2647047	hCoV-19/USA/CO-CDC-MMB08839763/2021
EPI_ISL_2647123	hCoV-19/USA/CO-CDC-MMB08879305/2021
EPI_ISL_2647316	hCoV-19/USA/CO-CDC-MMB08916914/2021
EPI_ISL_2647334	hCoV-19/USA/CO-CDC-MMB08892967/2021
EPI_ISL_2647352	hCoV-19/USA/CO-CDC-MMB08915429/2021
EPI_ISL_2647357	hCoV-19/USA/CO-CDC-MMB08916965/2021
EPI_ISL_2647358	hCoV-19/USA/CO-CDC-MMB08915612/2021
EPI_ISL_2647369	hCoV-19/USA/CO-CDC-MMB08869323/2021
EPI_ISL_2647385	hCoV-19/USA/CO-CDC-MMB08918929/2021
EPI_ISL_2647388	hCoV-19/USA/CO-CDC-MMB08917656/2021
EPI_ISL_2647390	hCoV-19/USA/CO-CDC-MMB08919420/2021
EPI_ISL_2647392	hCoV-19/USA/CO-CDC-MMB08919409/2021
EPI_ISL_2647399	hCoV-19/USA/CO-CDC-MMB08880250/2021
EPI_ISL_2647404	hCoV-19/USA/CO-CDC-MMB08896529/2021
EPI_ISL_2647413	hCoV-19/USA/CO-CDC-MMB08914647/2021
EPI_ISL_2647421	hCoV-19/USA/CO-CDC-MMB08917649/2021
EPI_ISL_2647429	hCoV-19/USA/CO-CDC-MMB08919423/2021
EPI_ISL_2647545	hCoV-19/USA/CO-CDC-MMB08929164/2021
EPI_ISL_2647592	hCoV-19/USA/CO-CDC-MMB08936742/2021
EPI_ISL_2647601	hCoV-19/USA/CO-CDC-MMB08928837/2021
EPI_ISL_2647619	hCoV-19/USA/CO-CDC-MMB08933171/2021
EPI_ISL_2647661	hCoV-19/USA/CO-CDC-MMB08964627/2021
EPI_ISL_2647671	hCoV-19/USA/CO-CDC-MMB08948682/2021
EPI_ISL_2647681	hCoV-19/USA/CO-CDC-MMB08968777/2021
EPI_ISL_2647686	hCoV-19/USA/CO-CDC-MMB08953549/2021
EPI_ISL_2647692	hCoV-19/USA/CO-CDC-MMB08955808/2021
EPI_ISL_2647696	hCoV-19/USA/CO-CDC-MMB08970255/2021
EPI_ISL_2647710	hCoV-19/USA/CO-CDC-MMB08954800/2021
EPI_ISL_2647715	hCoV-19/USA/CO-CDC-MMB08964531/2021
EPI_ISL_2647720	hCoV-19/USA/CO-CDC-MMB08930277/2021
EPI_ISL_2647726	hCoV-19/USA/CO-CDC-MMB08963318/2021
EPI_ISL_2647764	hCoV-19/USA/CO-CDC-MMB08950997/2021
EPI_ISL_2647770	hCoV-19/USA/CO-CDC-MMB08945791/2021
EPI_ISL_2647781	hCoV-19/USA/CO-CDC-MMB08942892/2021
EPI_ISL_2647783	hCoV-19/USA/CO-CDC-MMB08970312/2021
EPI_ISL_2647788	hCoV-19/USA/CO-CDC-MMB08970314/2021
EPI_ISL_2647789	hCoV-19/USA/CO-CDC-MMB08967594/2021
EPI_ISL_2647811	hCoV-19/USA/CO-CDC-MMB08970260/2021
EPI_ISL_2647812	hCoV-19/USA/CO-CDC-MMB08968501/2021
EPI_ISL_2647826	hCoV-19/USA/CO-CDC-MMB08949053/2021
EPI_ISL_2647827	hCoV-19/USA/CO-CDC-MMB08969777/2021
EPI_ISL_2647852	hCoV-19/USA/CO-CDC-MMB08964977/2021
EPI_ISL_2647858	hCoV-19/USA/CO-CDC-MMB08978933/2021
EPI_ISL_2647876	hCoV-19/USA/CO-CDC-MMB08993534/2021
EPI_ISL_2647881	hCoV-19/USA/CO-CDC-MMB08975891/2021
EPI_ISL_2647882	hCoV-19/USA/CO-CDC-MMB08978187/2021
EPI_ISL_2647902	hCoV-19/USA/CO-CDC-MMB08965195/2021
EPI_ISL_2647914	hCoV-19/USA/CO-CDC-MMB08981950/2021
EPI_ISL_2647930	hCoV-19/USA/CO-CDC-MMB08995588/2021
EPI_ISL_2647934	hCoV-19/USA/CO-CDC-MMB08976289/2021
EPI_ISL_2647977	hCoV-19/USA/CO-CDC-MMB08978924/2021
EPI_ISL_2651134	hCoV-19/USA/NE-NCOV21-23263/2021
EPI_ISL_2651135	hCoV-19/USA/NE-NCOV21-23259/2021
EPI_ISL_2652293	hCoV-19/USA/TX-CDC-QDX25662829/2021
EPI_ISL_2652339	hCoV-19/USA/TX-CDC-QDX25662824/2021
EPI_ISL_2652347	hCoV-19/USA/TX-CDC-QDX25662830/2021
EPI_ISL_2652349	hCoV-19/USA/TX-CDC-QDX25662827/2021
EPI_ISL_2652374	hCoV-19/USA/KS-CDC-QDX25662871/2021
EPI_ISL_2652424	hCoV-19/USA/TX-CDC-QDX25704273/2021
EPI_ISL_2652459	hCoV-19/USA/TX-CDC-QDX25704278/2021
EPI_ISL_2652462	hCoV-19/USA/TX-CDC-QDX25704229/2021
EPI_ISL_2652473	hCoV-19/USA/TX-CDC-QDX25704277/2021
EPI_ISL_2653001	hCoV-19/USA/WY-CDC-IBX510803208442/2021
EPI_ISL_2658151	hCoV-19/USA/KS-KHEL-2610/2021
EPI_ISL_2658152	hCoV-19/USA/KS-KHEL-2611/2021
EPI_ISL_2658154	hCoV-19/USA/KS-KHEL-2613/2021
EPI_ISL_2658156	hCoV-19/USA/KS-KHEL-2615/2021
EPI_ISL_2658317	hCoV-19/USA/LA-2106170154/2021
EPI_ISL_2658955	hCoV-19/USA/TX-DSHS-6897/2021
EPI_ISL_2658968	hCoV-19/USA/TX-DSHS-6919/2021
EPI_ISL_2660716	hCoV-19/India/AP-CCMB-CIA3750/2021
EPI_ISL_2660731	hCoV-19/India/AP-CCMB-CIA3762/2021
EPI_ISL_2661467	hCoV-19/USA/CO-USAFSAM-S3098/2021
EPI_ISL_2663219	hCoV-19/USA/MN-MDH-8304/2021
EPI_ISL_2675190	hCoV-19/USA/KS-KHEL-2632/2021
EPI_ISL_2675204	hCoV-19/USA/TX-HHD-210623KVI5613/2021
EPI_ISL_2675208	hCoV-19/USA/TX-HHD-210623KVI5693/2021
EPI_ISL_2675209	hCoV-19/USA/TX-HHD-210623KVI5694/2021
EPI_ISL_2675217	hCoV-19/USA/SD-SDPHL-0385/2021
EPI_ISL_2686399	hCoV-19/USA/CA-CDC-FG-037434/2021
EPI_ISL_2686400	hCoV-19/USA/CA-CDC-FG-037383/2021
EPI_ISL_2686563	hCoV-19/USA/CA-CDC-FG-037542/2021
EPI_ISL_2686565	hCoV-19/USA/CA-CDC-FG-037496/2021
EPI_ISL_2686591	hCoV-19/USA/CA-CDC-FG-037507/2021
